cease	n.停止vt.vi.停止,终了
sorrow	n.悲伤,伤心事vi.悲伤,惋惜,悔恨
month	n.月
clap	n.拍手,拍手声，一阵强风vt.鼓掌,击掌，轻敲，急速放置vi.砰的一声，突然离开
wicked	adj.邪恶的；恶劣的；不道德的；顽皮的
retell	v.复述vt.复述,再讲
balance	n.天平,平衡,差额,平静,调和,制衡vt.使平衡,称重量,权衡,抵消vi.建立平衡,均衡
revenge	n.报仇,报复，复仇愿望，获得满足的机会vt.报仇,报复
display	n.显示,陈列,炫耀vt.显示,表现,夸示
diagram	n.图解,图表vt.用图解法表示
feed	vt.喂养；满足（欲望等）；向…提供；供…作食物vi.吃，以…为食；流入，注入，进入（如油流入机器）；[电子学]馈入n.饲料（尤指粗饲料），施肥；喂送；草料
atomic	adj.原子的,原子能的
compass	n.指南针,圆规vt.图谋,包围,达成
specially	adv.特别地,专门地
tooth	n.牙齿
differ	vi.不一致,不同(意见)
simply	adv.amp;adj.简单地,仅仅
persuade	v.说服vt.劝说,说服
knob	n.把手,瘤
spin	n.旋转,疾驰v.纺织,旋转,拉长
